============================================================
TRACKING UPLOAD SUMMARY - 2026-03-30 20:55:30
============================================================
Total FBA shipments: 128
  Successful:   0
  Partial:      0
  Failed:       79
  Skipped:      49

DETAILS:
  [SKIP]     FBA198MM4Q36  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198MP8HT5  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA195RR3M99  - 0 added, 0 existed, 0 failed (of 3)
  [SKIP]     FBA1994TVYY9  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1994WJJM0  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA197G30X63  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1974K3MSK  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1978LLQNX  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1994TK6H5  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA197G1ZXPZ  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1978MKF7Z  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1974PGMNJ  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA196S4XTYH  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA197G2Q92T  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198B9GMJT  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198L0S8BF  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA19692LS2Z  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1978M390T  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1994Z3N1G  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994PH4RT  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198MNVCDH  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198MP8FJ6  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA196Q7P4VT  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198B8Q91F  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198KZ9P9K  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA195KGXQDF  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA195RQLSNM  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA197HGGQXC  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1976WD9WR  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195RRK7L8  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197D1SZ07  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195KF35JQ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196Q6QFV6  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197D0GZRT  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA195W56JZ2  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA195RTL58W  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA196S5FRT5  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA197G1P0Y9  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1978MZ07N  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA197D1329W  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198B71ZZT  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198G682TX  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA196Q8TVJ8  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19659KS5T  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA198MN1D74  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1972NVGYF  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198MNQG7C  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198MN2JXL  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198MNS2RT  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA195KDVJ3Q  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA198G5WK9P  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994W5FVW  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198G6XCCF  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198B9GG6N  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1994RFP1B  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19657N0P2  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994WF4SZ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1953XC1SY  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1972RSFFY  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197HCJ4M9  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA197HFQKDT  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19690JXGL  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA198G7KNLW  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA196916Q98  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA197D2ZS2S  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA196908BP7  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA198B9K8NM  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA198L0JGRD  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA19691WY6R  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA1972N97WY  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA197D0R9QL  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA196S3D07M  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA1994W71T8  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196Q71BN5  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1972Q2S5Y  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195W5SLF9  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994R6Y64  - 0 added, 0 existed, 0 failed (of 1)
  [SKIP]     FBA1994VYMRC  - 0 added, 0 existed, 0 failed (of 0)
  [SKIP]     FBA199532MZ3  - 0 added, 0 existed, 0 failed (of 0)
  [NOTFOUND] FBA198L0HB5T  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1968Z317V  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994T0HF5  - 0 added, 0 existed, 0 failed (of 1)
